date,EUR,EUR1m,AUD,AUD1m,CAD,CAD1m,CHF,CHF1m,GBP,GBP1m,JPY,JPY1m,NOK,NOK1m,NZD,NZD1m,SEK,SEK1m
2002-01-08,1.1195700850873265,1.1210825172786842,1.9105846388995034,1.9146278911120485,1.59565,1.595995,1.65425,1.654075,0.6947339169098236,0.6960419574091926,132.86,132.65325,8.92225,8.9585,2.3247704289201443,2.3306492023353105,10.3828,10.40175
2002-01-09,1.1219566924716706,1.1235323858210213,1.9071231047964148,1.911070256675846,1.5965500000000001,1.596885,1.6604,1.6602350000000001,0.6957005704744678,0.6969928244588721,133.15,132.949,8.9197,8.9548,2.333994631812347,2.3400297183774237,10.378,10.39645
2002-01-10,1.1215791834903546,1.1231096660433408,1.9107671730199676,1.9147804005375937,1.5974,1.597705,1.6609500000000001,1.6607450000000001,0.6948787436592314,0.6961703668121663,132.39,132.17049999999998,8.9335,8.96885,2.3460410557184748,2.3521386820966965,10.282,10.30035
2002-01-11,1.1205737337516808,1.1221707270544141,1.922522349322311,1.926585160554864,1.596,1.59612,1.6518000000000002,1.6516950000000001,0.690321689907497,0.691665773265043,132.215,132.0,8.9102,8.94595,2.362669816893089,2.36902265970174,10.2775,10.29595
2002-01-14,1.1183180496533214,1.1200277766888618,1.929570670525808,1.9341349678063233,1.595,1.595235,1.6562999999999999,1.6562599999999998,0.689893066574681,0.691323885240235,132.05,131.84750000000003,8.895199999999999,8.93395,2.3677045104770924,2.3743663409827502,10.3405,10.36105
2002-01-15,1.1319900384876613,1.13369687213033,1.9329274185754326,1.9373676172490037,1.5886,1.589085,1.6675,1.667445,0.6939143709666227,0.6953256731621673,131.14,130.945,8.9575,8.995199999999999,2.3677045104770924,2.3741690408357075,10.4047,10.42495
2002-01-16,1.1323745895142112,1.1339861313496136,1.9411821799475881,1.9455343760359973,1.5988,1.599275,1.6583999999999999,1.6583249999999998,0.6958215913439795,0.6971774769844287,132.065,131.875,8.949300000000001,8.985550000000002,2.3806689679800024,2.386919680152763,10.4775,10.4971
2002-01-17,1.1346873936230568,1.1362797066125798,1.9449576971700866,1.9491528397012805,1.61215,1.612615,1.6659000000000002,1.66575,0.6965486016786822,0.6978634909225406,132.54,132.35,8.9542,8.9896,2.3710729104919976,2.3776406671659713,10.4906,10.509350000000001
2002-01-18,1.1301989150090415,1.1317850513830414,1.9436345966958213,1.9477785001871815,1.6135000000000002,1.6139550000000003,1.6604,1.6603,0.6952652436904679,0.6965704354610077,132.57,132.375,8.9482,8.98315,2.361553902467824,2.3680969972530077,10.4433,10.462250000000001
2002-01-21,1.1316057485572026,1.1332215221431485,1.9340489314379654,1.9384183862860778,1.61055,1.611,1.6617,1.66159,0.6965000870625109,0.6978415760054153,132.72,132.52,8.9498,8.9864,2.330187580100198,2.3365031893268537,10.4391,10.45905
2002-01-22,1.1272686281140796,1.1288720310665583,1.9251131003946482,1.929296306535858,1.6084,1.608825,1.6612,1.661075,0.699839037021485,0.7011811396297062,133.87,133.665,8.9297,8.9658,2.32910213112845,2.335248236887581,10.4691,10.488449999999998
2002-01-23,1.138433515482696,1.1400168722497093,1.9301293186643504,1.9341903343866933,1.6014,1.6017949999999999,1.6707,1.670595,0.7016066792955868,0.7028913435416586,134.57,134.37199999999999,8.9783,9.015400000000001,2.345490793948634,2.351530258315599,10.5337,10.5524
2002-01-24,1.1386927806877705,1.1401858502935978,1.9243721735783703,1.9283550533604772,1.60375,1.604085,1.6734,1.673235,0.7013606396409033,0.7026345281633485,134.69,134.49,8.9796,9.016499999999999,2.340550029256875,2.346288757757417,10.5269,10.545499999999999
2002-01-25,1.1560693641618498,1.1575614809841588,1.9351717464925011,1.938942318598858,1.6095000000000002,1.6098500000000002,1.7043,1.7041,0.710126402499645,0.7113868130226471,134.465,134.266,9.0596,9.0953,2.3543260741612713,2.3606340663102108,10.6728,10.69055
2002-01-28,1.160631383472609,1.1620205212824057,1.9387359441644048,1.9425094891588541,1.59835,1.5987149999999999,1.70755,1.7072699999999998,0.7094714437743881,0.7106487156801086,133.44,133.2545,9.09145,9.12625,2.3654642223536366,2.3709885836899693,10.721,10.73845
2002-01-29,1.1551345731777751,1.156517263911457,1.965795164143896,1.9695014817544398,1.5939999999999999,1.594355,1.69905,1.698785,0.7072635971426551,0.7084586419556294,133.46,133.276,9.0666,9.0999,2.3823704586063132,2.387917139275267,10.6835,10.70035
2002-01-30,1.1610356437942646,1.1624054819042526,1.9729703067968827,1.9766861726058178,1.5877,1.587985,1.7109999999999999,1.7107249999999998,0.7071385638015769,0.7082980659921309,132.895,132.7075,9.0908,9.123899999999999,2.398369109005876,2.403903939998558,10.6825,10.69915
2002-01-31,1.1636025133814287,1.1649716329407378,1.9696671262556626,1.9733425106915696,1.5891,1.589385,1.71925,1.7189349999999999,0.7088176920895946,0.7099600292503532,134.68,134.48850000000002,9.1243,9.1575,2.4029796948215787,2.40850684618071,10.6523,10.668800000000001
2002-02-01,1.1603620329542816,1.1617775196049955,1.9625159454420569,1.9661588668161343,1.5913,1.591585,1.7136,1.713255,0.7061149555147579,0.7072685993959927,133.065,132.8775,9.09795,9.131,2.3954964666427117,2.4009603841536618,10.6706,10.68715
2002-02-04,1.1496895838123706,1.1510261398036348,1.957905041605482,1.9615547047203046,1.5971,1.5973549999999999,1.6979,1.697585,0.7026172492534692,0.7037718653121404,132.35,132.166,9.0298,9.062949999999999,2.394349335568059,2.3998080153587713,10.6375,10.65415
2002-02-05,1.1524720525527257,1.1538683436219928,1.9629011679261952,1.9665733658709452,1.59785,1.598135,1.6987999999999999,1.6985,0.7063643427279791,0.7075288141109547,133.93,133.7425,9.05685,9.08995,2.403557264751833,2.4090870764523786,10.6399,10.656550000000001
2002-02-06,1.1528706479133042,1.1542679055808853,1.9659884006684358,1.9696682901329268,1.6078000000000001,1.6080850000000002,1.697,1.696765,0.7080147267063156,0.7091670478439549,133.69,133.5045,9.0126,9.04565,2.4000960038401535,2.405609882245396,10.615,10.6316
2002-02-07,1.1491611123879568,1.1505493873324513,1.9629011679261952,1.9665752995782482,1.5993,1.5995599999999999,1.6914,1.69113,0.7072135785007072,0.7083658000991713,133.75,133.562,8.9762,9.00935,2.3995200959808036,2.4050891686809286,10.6175,10.63405
2002-02-08,1.1465260261407935,1.1478749964128907,1.9563728846718185,1.9600272051776078,1.599,1.599305,1.6913,1.691005,0.7067137809187279,0.7078568571863398,134.705,134.5175,8.978,9.011099999999999,2.3926306974518483,2.398167799800952,10.5934,10.610050000000001
2002-02-11,1.1407711613050422,1.1421000936522077,1.951409893648161,1.95504300410344,1.59085,1.591145,1.6841,1.683795,0.703358537014243,0.7044709247237594,133.38,133.1925,8.9492,8.98175,2.377273267562106,2.3827394355290274,10.5658,10.5824
2002-02-12,1.1405109489051095,1.1418523128218596,1.9636720667648504,1.9673397985365353,1.5912,1.591505,1.6856,1.685305,0.6979828296223912,0.6990880396522735,132.64,132.45299999999997,8.9276,8.96015,2.39721922569819,2.4027776109182213,10.559,10.5754
2002-02-13,1.1482374555057986,1.1495772429688982,1.9598236158745714,1.9634881524106629,1.58995,1.59025,1.7,1.69971,0.6999370056694897,0.7010631622856061,133.27,133.083,8.9729,9.00545,2.3917723032767277,2.397276693675984,10.592600000000001,10.609000000000002
2002-02-14,1.1445576284765937,1.1459347963100899,1.937608990505716,1.941243226517072,1.5922,1.592495,1.6981000000000002,1.6978450000000003,0.6988120195667366,0.699912510936133,132.115,131.929,8.90995,8.943,2.372479240806643,2.3779799060697937,10.5455,10.561950000000001
2002-02-15,1.144950767117014,1.1463288817561759,1.9325538699391247,1.9361672755590054,1.5901999999999998,1.5904649999999998,1.6963,1.69603,0.6983240223463687,0.6994400982013899,132.605,132.41799999999998,8.9067,8.939400000000001,2.3649048125812935,2.3702860935314893,10.5112,10.52755
2002-02-18,1.1487650775416427,1.1501060972874746,1.931434089811685,1.935034318801161,1.5927,1.592985,1.70005,1.6997900000000001,0.7001820473323065,0.7013040749273275,132.71,132.52450000000002,8.907,8.93895,2.3713540431586435,2.3767929932142557,10.5605,10.5769
2002-02-19,1.1411617026132603,1.1424850191651863,1.9275250578257517,1.931117800503172,1.5904,1.5906850000000001,1.68805,1.6878,0.698616738857063,0.6997459922048297,133.57,133.381,8.8708,8.902999999999999,2.3716352424997034,2.3770754840319954,10.506,10.5226
2002-02-20,1.1496895838123706,1.1510327641476314,1.9336749492410326,1.9373439711599225,1.5888,1.589075,1.70105,1.7008349999999999,0.7006235549639179,0.7017617729309431,133.73,133.54,8.9231,8.9551,2.382938162754676,2.3884447045195345,10.5655,10.58195
2002-02-21,1.1488970588235294,1.1502317717019979,1.9340489314379654,1.9377328912718694,1.5905,1.590765,1.6994,1.699215,0.7010656197420078,0.7022052756682361,134.205,134.01500000000001,8.9022,8.93425,2.3849272597185784,2.3904572944804343,10.5117,10.527999999999999
2002-02-22,1.142204454597373,1.1435236537867786,1.9502681618722573,1.9539455044598804,1.5965,1.596765,1.6904,1.690165,0.6979828296223912,0.6991344715242529,134.15,133.9605,8.8809,8.91285,2.392058366224136,2.3975928168119207,10.4583,10.474549999999999
2002-02-25,1.1500862564692351,1.1514767689561862,1.94647201946472,1.9501464559988453,1.6024,1.602665,1.6979,1.697625,0.7017051434987018,0.7028765221669683,133.86,133.6655,8.9044,8.936150000000001,2.3963575365444525,2.401911921889824,10.4566,10.473
2002-02-26,1.1574074074074074,1.1589466334048983,1.9485580670303975,1.952216761655027,1.6104,1.6106725,1.7092,1.708985,0.7056665020111496,0.7070185733779226,134.68,134.47,8.9546,8.985299999999999,2.39721922569819,2.403528379661343,10.5035,10.520050000000001
2002-02-27,1.1554015020219526,1.1568918942369428,1.940805434255216,1.9449391613305642,1.6078999999999999,1.6081649999999998,1.7058,1.705585,0.7046471479406686,0.7058931489540428,134.28,134.07,8.9033,8.94055,2.384358607534573,2.39040015298561,10.4965,10.51545
2002-02-28,1.1502185415228894,1.1517420097898072,1.9303156066016793,1.934265159126192,1.6016,1.6018724999999998,1.6966,1.6964000000000001,0.7055420326665962,0.7068036923424889,133.355,133.14399999999998,8.8785,8.91435,2.3713540431586435,2.3773863015001306,10.429,10.44725
2002-03-01,1.1554015020219526,1.156938740093712,1.9258545979778527,1.9297948357918275,1.5920999999999998,1.5923749999999999,1.7078,1.707605,0.7053678493334274,0.7066313822063152,133.46,133.251,8.8902,8.92585,2.359325232983367,2.3652544126777637,10.5,10.51835
2002-03-04,1.150483202945237,1.1519874663763658,1.9217834150091286,1.9259599369517757,1.5907,1.59099,1.7006000000000001,1.7004000000000001,0.7027159973296793,0.7040096871732956,132.22,132.0045,8.833,8.87085,2.3529411764705883,2.35910259737196,10.4233,10.44295
2002-03-05,1.1471836641046231,1.148646320311513,1.9217834150091286,1.9258590486872575,1.58745,1.58775,1.6940499999999998,1.6938299999999997,0.7020992768377448,0.703356063456784,132.24,132.0325,8.8289,8.865950000000002,2.3518344308560675,2.357962249024393,10.3467,10.36585
2002-03-06,1.140901312036509,1.1424001827840293,1.9140587616039813,1.9180001242864082,1.5813000000000001,1.5816050000000001,1.6825999999999999,1.68237,0.7028641714988578,0.7041199820449405,130.67,130.46499999999997,8.7936,8.8296,2.3345395120812418,2.3404952487946447,10.3171,10.33565
2002-03-07,1.134301270417423,1.135724791168604,1.9038553069966682,1.9077758271829819,1.5835,1.5837949999999998,1.6695,1.669245,0.7001330252748021,0.7013901552877803,127.56,127.35900000000001,8.7425,8.778599999999999,2.3231501916598907,2.3290207632201043,10.279,10.29745
